FAR_CODE_CD,ACTION_CD,FUNCTION_CD,ACTION_REASON_CD,FAR_CODE_ID,FAR_CODE_DESCRIPTION_TXT
COLPCITAX,P,COL,CITAX,1,COLLECTION PROVISION OF INFORMATION – TAX OFFSET DISBURSED OR NEGATIVE ADJUSTMENT CONFIRMED
COLPCISUB,P,COL,CISUB,2,COLLECTION PROVISION OF INFORMATION – SUBMISSION FOR FEDERAL TAX OFFSET]
CSIRFRINF,R,CSI,FRINF,3,"− CASE INFORMATION REQUEST, ALL AVAILABLE IV-D INFORMATION"
CSIRFRNNF,R,CSI,FRNNF,4,"− CASE INFORMATION REQUEST, ALL AVAILABLE NON IV-D INFORMATION"
CSIPFSINF,P,CSI,FSINF,5,"− CASE INFORMATION PROVISION OF INFORMATION, ALL AVAILABLE CASE INFORMATION"
CSIPFUINF,P,CSI,FUINF,6,"− CASE INFORMATION PROVISION OF INFORMATION, NO CASE INFORMATION AVAILABLE"
ENFAAADIN,A,ENF,AADIN,7,"− ENFORCEMENT ACKNOWLEDGMENT, ADDITIONAL INFORMATION NEEDED TO PROCEED"
ENFAANOAD,A,ENF,ANOAD,8,"− ENFORCEMENT ACKNOWLEDGMENT, NO FURTHER INFORMATION REQUIRED"
ENFPEILMV,P,ENF,EILMV,9,"− ENFORCEMENT PROVISION OF INFORMATION, LIEN ESTABLISHED MOTOR VEHICLE"
ENFPEILRE,P,ENF,EILRE,10,"− ENFORCEMENT PROVISION OF INFORMATION, LIEN ESTABLISHED REAL ESTATE"
ENFPEIWAR,P,ENF,EIWAR,11,"− ENFORCEMENT PROVISION OF INFORMATION, ARRESTWARRANT ISSUED *PARTICIPANT-DATA-IND 1ORDER-DATA-IND =0 (numeric)COLLECTION-DATA-IND =0 (numeric)*INFORMATION-IND Fill as appropriateOVERDUE-IND =0 (numeric)CASE DATA BLOCK CASE-TYPE Fill as appropriateCASE-STATUS #NAME?*CONTACT-NAME-LAST Your state contact last name*CONTACT-NAME-FIRST Your state contact first name*CONTACT-ADDRESS-LINE-1 Contact address*CONTACT-CITY Contact city*CONTACT-STATE Contact state*CONTACT-ZIP-1 Contact ZIP Code*CONTACT-PHONE-NUM Contact phone numberNCP IDENTIFICATION DATA BLOCK NAME-LAST NCP last nameNAME-FIRST NCP first nameSSN NCP Social Security number*DATE-OF-BIRTH NCP date of birth*PARTICIPANT DATA BLOCK *NAME-LAST Participant last name*NAME-FIRST Participant first name*RELATIONSHIP Fill as appropriate*PARTICIPANT-STATUS #NAME?*INFORMATION DATA BLOCK WARRANT ISSUED INFORMATION-TEXT-LINE1 Fill as appropriate"
ENFPESREG,P,ENF,ESREG,12,"− ENFORCEMENT PROVISION OF INFORMATION, ORDER REGISTERED"
ENFPESTXR,P,ENF,ESTXR,13,"− ENFORCEMENT PROVISION OF INFORMATION, ADMINISTRATIVE REVIEW COMPLETE, CHALLENGE UPHELD"
ENFPEUTXR,P,ENF,EUTXR,14,"− ENFORCEMENT PROVISION OF INFORMATION, ADMINISTRATIVE REVIEW COMPLETE, CHALLENGE NOT UPHELD"
ENFPGSCOE,P,ENF,GSCOE,15,"− ENFORCEMENT PROVISION OF INFORMATION, NEW CONTROLLING ORDER"
ENFPSICPS,P,ENF,SICPS,16,"− ENFORCEMENT PROVISION OF INFORMATION, CONTEMPT PROCEEDING STARTED"
ENFRERARR,R,ENF,ERARR,17,− ENFORCEMENT REQUEST FOR COLLECTION OF ARREARS ONLY
ENFRERMEO,R,ENF,ERMEO,18,"− ENFORCEMENT REQUEST, REGISTRATION OF FOREIGN SUPPORT ORDER FOR MODIFICATION AND ENFORCEMENT BY OBLIGOR"
ENFRERREG,R,ENF,ERREG,19,"– ENFORCEMENT REQUEST, REGISTRATION OF FOREIGN ORDER FOR ENFORCEMENT ONLY BY OBLIGOR"
ENFRERREO,R,ENF,ERREO,20,"− ENFORCEMENT REQUEST, REGISTRATION OF FOREIGN ORDER FOR ENFORCEMENT ONLY BY OBLIGEE"
ENFRERRES,R,ENF,ERRES,21,"− ENFORCEMENT REQUEST, REGISTRATION OF FOREIGN ORDER FOR ENFORCEMENT ONLY BY STATE AGENCY"
ENFRERTXR,R,ENF,ERTXR,22,"− ENFORCEMENT REQUEST, ADMINISTRATIVE REVIEW OF TAX OFFSET"
ENFRERALL,R,ENF,ERALL,23,"− ENFORCEMENT REQUEST, ALL REMEDIES"
ENFRERMEE,R,ENF,ERMEE,24,"− ENFORCEMENT REQUEST, REGISTRATION OF FOREIGN SUPPORT ORDER FOR MODIFICATION AND ENFORCEMENT BY STATE AGENCY"
ENFRERMEM,R,ENF,ERMEM,25,"− ENFORCEMENT REQUEST, REGISTRATION OF FOREIGN SUPPORT ORDER FOR MODIFICATION AND ENFORCEMENT BY OBLIGEE"
ENFABLANK,A,ENF,BLANK,26,Enforcement\nAcknowledgment
ENFCBLANK,C,ENF,BLANK,27,Enforcement Cancel Previous\nRequest
ENFMBLANK,M,ENF,BLANK,28,"Enforcement Reminder,\nResponse Overdue"
ENFMGRPOU,M,ENF,GRPOU,29,"Enforcement Reminder,\nAttachment(s) Overdue"
ENFPEILPP,P,ENF,EILPP,30,"Enforcement Provision of\nInformation, Lien Established\nPersonal Property"
ENFPESORD,P,ENF,ESORD,31,"Enforcement Provision of\nInformation, New Order\nEstablished"
ENFPESWAG,P,ENF,ESWAG,32,"Enforcement Provision of\nInformation, Wage\nWithholding Established"
ENFPGIHER,P,ENF,GIHER,33,"Enforcement Provision of\nInformation, Notice of\nUpcoming Hearing"
ENFPGSARR,P,ENF,GSARR,34,"Enforcement Provision of\ninformation, Notice of\nArrearage\nReconciliation/Determination\nof Sum Certain"
ENFPGSFIL,P,ENF,GSFIL,35,"Enforcement Provision of\nInformation, Document filed"
ENFREREXO,R,ENF,EREXO,36,"Enforcement Request/Update,\nRequest Collection of\nExisting Order"
ENFUEREXO,U,ENF,EREXO,37,"Enforcement Request/Update,\nRequest Collection of\nExisting Order"
ENFRERFSM,R,ENF,ERFSM,38,Enforcement Request\nRegistration of Foreign\nSupport Order for\nModification by Obligor
ENFUERFSM,U,ENF,ERFSM,39,Enforcement Request\nRegistration of Foreign\nSupport Order for\nModification by Obligor
ENFRERFSO,R,ENF,ERFSO,40,"Enforcement Request/Update,\nRegistration of Foreign\nSupport Order for\nModification by Obligee"
ENFUERFSO,U,ENF,ERFSO,41,"Enforcement Request/Update,\nRegistration of Foreign\nSupport Order for\nModification by Obligee"
ENFRERFSS,R,ENF,ERFSS,42,"Enforcement Request,\nRegistration of Foreign\nSupport Order for\nModification by State Agency"
ENFUERFSS,U,ENF,ERFSS,43,"Enforcement Request,\nRegistration of Foreign\nSupport Order for\nModification by State Agency"
ENFRERSTA,R,ENF,ERSTA,44,"Enforcement Request,\nRequest Status of\nEnforcement Actions"
ENFUERSTA,U,ENF,ERSTA,45,"Enforcement Request,\nRequest Status of\nEnforcement Actions"
ENFRERWAG,R,ENF,ERWAG,46,"Enforcement Request/Update,\nWage Withholding"
ENFUERWAG,U,ENF,ERWAG,47,"Enforcement Request/Update,\nWage Withholding"
ENFUERALL,U,ENF,ERALL,48,"Enforcement Update, Request\nEnforcement – All Remedies"
ENFUERARR,U,ENF,ERARR,49,"Enforcement Update, Request\nCollection of Arrears"
ENFUERMEE,U,ENF,ERMEE,50,"Enforcement Update, Request\nRegistration of Foreign\nSupport Order for\nModification and\nEnforcement by the State IV-\nD Agency"
ENFUERMEM,U,ENF,ERMEM,51,"Enforcement Update, Request\nRegistration of Foreign\nSupport Order for\nModification and\nEnforcement by Obligee"
ENFUERMEO,U,ENF,ERMEO,52,"Enforcement Update, Request\nRegistration of Foreign\nSupport Order for\nModification and\nEnforcement by Obligor"
ENFUERREG,U,ENF,ERREG,53,"Enforcement Update,\nRegistration of a Support\nOrder"
ENFUERREO,U,ENF,ERREO,54,"Enforcement Update, Request\nRegistration of Foreign Order\nfor Enforcement Only by\nObligee"
ENFUERRES,U,ENF,ERRES,55,"Enforcement of a Foreign\nSupport Order Update,\nRequest Registration of\nForeign Support Order for\nEnforcement Only by the\nState IV-D Agency"
ENFUERTXR,U,ENF,ERTXR,56,"Enforcement Update, Request\nAdministrative Review of\nTax Offset"
ESTAAADIN,A,EST,AADIN,57,"− ESTABLISHMENT ACKNOWLEDGMENT, ADDITIONAL INFORMATION NEEDED TO PROCEED"
ESTAANOAD,A,EST,ANOAD,58,"− ESTABLISHMENT ACKNOWLEDGMENT, NO FURTHER INFORMATION REQUIRED"
ESTPGSCOE,P,EST,GSCOE,59,"− ESTABLISHMENT PROVISION OF INFORMATION, NEW CONTROLLING ORDER"
ESTPSICHS,P,EST,SICHS,60,"− ESTABLISHMENT PROVISION OF INFORMATION, SUPPORT HEARING SCHEDULED"
ESTPSSADJ,P,EST,SSADJ,61,"− ESTABLISHMENT PROVISION OF INFORMATION, REVIEW AND MODIFICATION WARRANTED"
ESTPSSEST,P,EST,SSEST,62,"− ESTABLISHMENT PROVISION OF INFORMATION, SUPPORT ORDER ESTABLISHED"
ESTPSSMOD,P,EST,SSMOD,63,"− ESTABLISHMENT PROVISION OF INFORMATION, SUPPORT ORDER MODIFIED"
ESTPSUADJ,P,EST,SUADJ,64,"− ESTABLISHMENT PROVISION OF INFORMATION, REVIEW AND MODIFICATION NOT WARRANTED"
ESTPSUEST,P,EST,SUEST,65,"− ESTABLISHMENT PROVISION OF INFORMATION, SUPPORT ORDER NOT ESTABLISHED"
ESTPSUMOD,P,EST,SUMOD,66,"− ESTABLISHMENT PROVISION OF INFORMATION, SUPPORT ORDER NOT MODIFIED"
ESTRSRADJ,R,EST,SRADJ,67,− ESTABLISHMENT REQUEST FOR REVIEW AND ADJUSTMENT
ESTRSRMOD,R,EST,SRMOD,68,− ESTABLISHMENT REQUEST FOR SUPPORT ORDER MODIFICATION
ESTRSROMC,R,EST,SROMC,69,− ESTABLISHMENT REQUEST FOR MEDICAL SUPPORT ONLY
ESTRSROPP,R,EST,SROPP,70,− ESTABLISHMENT REQUEST FOR RETROACTIVE CHILD SUPPORT ONLY
ESTRSRORD,R,EST,SRORD,71,"− ESTABLISHMENT REQUEST FOR ESTABLISHMENT OF CURRENT CHILD SUPPORT, INCLUDING MEDICAL SUPPORT"
ESTRSRPAT,R,EST,SRPAT,72,"− ESTABLISHMENT REQUEST FOR ESTABLISHMENT OF CURRENT CHILD SUPPORT, REQUESTING THE ESTABLISHMENT OF PATERNITY AND SUPPORT]"
ESTABLANK,A,EST,BLANK,73,Acknowledgment
ESTCBLANK,C,EST,BLANK,74,Cancel Support Order Request
ESTMBLANK,M,EST,BLANK,75,Reminder Transaction
ESTMGRPOU,M,EST,GRPOU,76,Attachments Overdue
ESTPGSARR,P,EST,GSARR,77,Notice of Arrearage\nReconciliation/Determination\nof Sum-certain
ESTPGSFIL,P,EST,GSFIL,78,Document Filed
ESTPSCDIS,P,EST,SCDIS,79,Case Dismissed Without\nPrejudice
ESTPSDCOS,P,EST,SDCOS,80,Defendant/Respondent\nOrdered to Pay Other Costs
ESTPSDPAR,P,EST,SDPAR,81,Defendant/Respondent is\nParent and Owes Duty
ESTPSDPAY,P,EST,SDPAY,82,Defendant/Respondent is\nOrdered to Pay
ESTPSIANS,P,EST,SIANS,83,NCP Did Not Show for\nSupport Order Hearing
ESTPSICPS,P,EST,SICPS,84,Contempt Proceedings Started
ESTPSSCON,P,EST,SSCON,85,Order Issued/Confirmed
ESTPSUDEN,P,EST,SUDEN,86,Support Order Request Denied
ESTRSROOC,R,EST,SROOC,87,Request Support Order\nEstablishment for Other Costs\nOnly
ESTRSROSS,R,EST,SROSS,88,Request Support Order for\nSpousal Support
ESTUSRADJ,U,EST,SRADJ,89,Request for Review and\nAdjustment
ESTUSRMOD,U,EST,SRMOD,90,Request Support Order\nModification
